matrix,variant,iterations,time_ms,nnz,l2_norm,residual
/data/matrix/bodyy4.mtx,cg_mixed,282,29.022,121938,inf,3.224381e-05
/data/matrix/minsurfo.mtx,cg_mixed,119,27.464,203622,inf,7.848068e-05
/data/matrix/wathen100.mtx,cg_mixed,392,71.739,471601,3.433855e-09,4.590557e-05
/data/matrix/crystm03.mtx,cg_mixed,139,25.881,583770,inf,1.140594e-07
/data/matrix/finan512.mtx,cg_mixed,72,27.945,596992,4.060784e-07,6.176740e-05
/data/matrix/Dubcova2.mtx,cg_mixed,240,41.277,1030225,3.222080e-06,5.486114e-05
/data/matrix/qa8fm.mtx,cg_mixed,93,36.904,1660579,inf,6.136581e-04
/data/matrix/crystm02.mtx,cg_mixed,139,14.130,322905,inf,4.771404e-07
/data/matrix/cfd1.mtx,cg_mixed,1888,979.307,1828364,6.638668e-05,3.929209e-03
/data/matrix/bodyy5.mtx,cg_mixed,789,91.193,129281,inf,2.060690e-05
/data/matrix/bodyy6.mtx,cg_mixed,1795,205.857,134748,inf,4.100353e-04
/data/matrix/nd6k.mtx,cg_mixed,9295,2451.511,6897316,3.892521e+04,1.445987e+02
/data/matrix/af_shell3.mtx,cg_mixed,4052,2123.928,17588875,inf,8.505988e-03
/data/matrix/af_shell4.mtx,cg_mixed,4052,2133.316,17588875,inf,6.811552e-03
/data/matrix/af_shell7.mtx,cg_mixed,4052,2125.028,17588875,inf,8.285855e-03
/data/matrix/af_shell8.mtx,cg_mixed,12500,3922.142,17588875,-nan,-nan
/data/matrix/gyro_m.mtx,cg_mixed,12500,2129.278,340431,9.204454e+03,1.651328e-03
/data/matrix/crankseg_1.mtx,cg_mixed,12500,8372.062,10614210,3.339699e+01,1.638530e+12
/data/matrix/crankseg_2.mtx,cg_mixed,3743,3174.309,14148858,inf,1.192971e+15
/data/matrix/cvxbqp1.mtx,cg_mixed,12500,3621.458,349968,2.516715e-05,1.431326e+03
/data/matrix/gridgena.mtx,cg_mixed,120,32.492,512084,2.858801e-02,1.293888e+02
/data/matrix/jnlbrng1.mtx,cg_mixed,193,41.973,199200,2.213551e-04,6.225282e-05
/data/matrix/obstclae.mtx,cg_mixed,2,0.640,197608,5.208288e-15,1.892281e-13
/data/matrix/torsion1.mtx,cg_mixed,2,0.656,197608,5.208288e-15,1.892281e-13
/data/matrix/thermal1.mtx,cg_mixed,1916,1043.947,574458,inf,1.737262e+04
/data/matrix/ted_B.mtx,cg_mixed,617,27.622,144579,inf,6.607790e-05
/data/matrix/ted_B_unscaled.mtx,cg_mixed,52,2.444,144579,inf,2.183423e+03
/data/matrix/Dubcova1.mtx,cg_mixed,144,22.042,253009,1.549166e-06,3.012210e-05
/data/matrix/parabolic_fem.mtx,cg_mixed,2943,2050.823,3674625,3.604534e-01,1.648868e-04
/data/matrix/shallow_water1.mtx,cg_mixed,2,1.038,327680,1.845378e-02,3.300445e+10
/data/matrix/shallow_water2.mtx,cg_mixed,2,1.248,327680,1.134575e-01,2.029180e+11
/data/matrix/pdb1HYS.mtx,cg_mixed,12500,3966.758,4344765,4.094363e+03,3.111244e+05
